19.57ms/f, 51.09FPS,  68.51Mc/f
19.79ms/f, 50.53FPS,  69.27Mc/f
20.33ms/f, 49.19FPS,  71.15Mc/f
20.72ms/f, 48.27FPS,  72.51Mc/f
20.62ms/f, 48.49FPS,  72.18Mc/f
20.51ms/f, 48.75FPS,  71.80Mc/f
20.55ms/f, 48.67FPS,  71.92Mc/f
21.07ms/f, 47.46FPS,  73.75Mc/f
21.31ms/f, 46.93FPS,  74.59Mc/f
21.03ms/f, 47.56FPS,  73.60Mc/f
20.86ms/f, 47.94FPS,  73.01Mc/f
21.16ms/f, 47.27FPS,  74.05Mc/f
20.76ms/f, 48.18FPS,  72.66Mc/f
20.66ms/f, 48.40FPS,  72.32Mc/f
21.08ms/f, 47.45FPS,  73.77Mc/f

// Optimized edge stepping
1.96ms/f, 509.61FPS,  6.87Mc/f
2.33ms/f, 428.38FPS,  8.17Mc/f
1.94ms/f, 514.43FPS,  6.80Mc/f
2.07ms/f, 483.07FPS,  7.25Mc/f
2.05ms/f, 488.59FPS,  7.16Mc/f
2.33ms/f, 429.96FPS,  8.14Mc/f
2.45ms/f, 408.13FPS,  8.58Mc/f
2.88ms/f, 346.70FPS,  10.10Mc/f
1.94ms/f, 516.05FPS,  6.78Mc/f
1.95ms/f, 514.01FPS,  6.81Mc/f
2.44ms/f, 409.74FPS,  8.54Mc/f
1.95ms/f, 513.80FPS,  6.81Mc/f
1.94ms/f, 514.38FPS,  6.80Mc/f
2.22ms/f, 451.00FPS,  7.76Mc/f
1.91ms/f, 523.53FPS,  6.69Mc/f
1.95ms/f, 512.56FPS,  6.83Mc/f
2.29ms/f, 436.32FPS,  8.02Mc/f
2.44ms/f, 410.21FPS,  8.53Mc/f
2.45ms/f, 407.93FPS,  8.58Mc/f
1.86ms/f, 537.81FPS,  6.51Mc/f
2.00ms/f, 500.23FPS,  7.00Mc/f
2.29ms/f, 436.11FPS,  8.03Mc/f


Process pixels 4x1
2.22ms/f, 451.22FPS,  7.76Mc/f
2.25ms/f, 443.85FPS,  7.89Mc/f
2.32ms/f, 431.52FPS,  8.11Mc/f
3.24ms/f, 308.56FPS,  11.34Mc/f
2.00ms/f, 501.18FPS,  6.98Mc/f
2.23ms/f, 448.11FPS,  7.81Mc/f
1.94ms/f, 514.83FPS,  6.80Mc/f
1.98ms/f, 504.57FPS,  6.94Mc/f
2.52ms/f, 396.09FPS,  8.84Mc/f
2.15ms/f, 465.29FPS,  7.52Mc/f
1.86ms/f, 537.98FPS,  6.51Mc/f
1.91ms/f, 522.55FPS,  6.70Mc/f
1.86ms/f, 539.08FPS,  6.49Mc/f
2.16ms/f, 462.98FPS,  7.56Mc/f
2.03ms/f, 493.78FPS,  7.09Mc/f
2.01ms/f, 497.83FPS,  7.03Mc/f


SIMD 4x1
1.71ms/f, 583.43FPS,  6.00Mc/f
1.72ms/f, 581.16FPS,  6.02Mc/f
2.46ms/f, 406.97FPS,  8.60Mc/f
1.72ms/f, 582.95FPS,  6.00Mc/f
1.73ms/f, 576.67FPS,  6.07Mc/f
2.39ms/f, 417.82FPS,  8.38Mc/f
1.75ms/f, 572.93FPS,  6.11Mc/f
1.83ms/f, 545.82FPS,  6.41Mc/f
2.61ms/f, 383.72FPS,  9.12Mc/f
2.03ms/f, 491.91FPS,  7.12Mc/f
1.80ms/f, 554.20FPS,  6.32Mc/f
1.87ms/f, 536.11FPS,  6.53Mc/f
1.76ms/f, 566.57FPS,  6.18Mc/f
1.74ms/f, 574.58FPS,  6.09Mc/f
2.35ms/f, 425.59FPS,  8.22Mc/f
1.75ms/f, 572.28FPS,  6.12Mc/f
1.77ms/f, 565.26FPS,  6.19Mc/f
1.81ms/f, 551.88FPS,  6.34Mc/f
1.87ms/f, 536.08FPS,  6.53Mc/f
1.83ms/f, 547.71FPS,  6.39Mc/f
2.68ms/f, 373.30FPS,  9.38Mc/f
1.77ms/f, 565.77FPS,  6.19Mc/f
1.82ms/f, 550.12FPS,  6.36Mc/f


SIMD 4x1 -- -Ox
1.23ms/f, 811.49FPS,  4.31Mc/f
1.30ms/f, 770.59FPS,  4.54Mc/f
1.22ms/f, 820.14FPS,  4.27Mc/f
1.25ms/f, 801.73FPS,  4.37Mc/f
1.22ms/f, 821.69FPS,  4.26Mc/f
1.21ms/f, 824.61FPS,  4.24Mc/f
1.60ms/f, 625.59FPS,  5.60Mc/f
1.25ms/f, 799.30FPS,  4.38Mc/f
1.25ms/f, 801.67FPS,  4.37Mc/f
1.25ms/f, 798.40FPS,  4.38Mc/f
1.30ms/f, 770.71FPS,  4.54Mc/f
1.22ms/f, 821.96FPS,  4.26Mc/f
1.28ms/f, 778.27FPS,  4.50Mc/f
1.22ms/f, 821.42FPS,  4.26Mc/f
1.22ms/f, 819.47FPS,  4.27Mc/f
